year,population,unemployment_rate
1855,23241,3.73
1856,23466,3.52
1857,23689,3.95
1858,23914,5.23
1859,24138,3.27
1860,24360,2.94
1861,24585,3.72
1862,24862,4.68
1863,25142,4.15
1864,25425,2.99
1865,25712,2.96
1866,26003,3.29
1867,26296,4.84
1868,26594,5.01
1869,26896,4.68
1870,27201,3.77
1871,27516,3.08
1872,27855,2.31
1873,28198,2.40
1874,28545,2.83
1875,28897,3.43
1876,29254,4.12
1877,29616,5.68
1878,29983,6.81
1879,30354,7.87
1880,30731,5.69
1881,31094,4.91
1882,31403,4.31
1883,31717,4.22
1884,32033,5.44
1885,32353,6.93
1886,32677,6.84
1887,33005,6.14
1888,33336,5.01
1889,33670,3.71
1890,34009,3.45
1891,34358,4.23
1892,34736,5.27
1893,35119,6.32
1894,35506,6.06
1895,35898,6.32
1896,36294,5.27
1897,36694,5.09
1898,37099,4.22
1899,37509,3.70
1900,37923,3.67
1901,38328,4.86
1902,38696,5.13
1903,39068,5.59
1904,39444,6.89
1905,39823,6.46
1906,40206,5.16
1907,40593,4.39
1908,40984,7.08
1909,41380,7.51
1910,41767,5.77
1911,42132,4.73
1912,42341,3.95
1913,42604,3.61
1914,43017,3.16
1915,43279,0.95
1916,43453,0.33
1917,43556,0.47
1918,43516,0.65
1919,43441,3.02
1920,43729,1.95
1921,43965,11.02
1922,44394,9.68
1923,44628,7.99
1924,44935,7.12
1925,45085,7.76
1926,45265,8.67
1927,45429,6.71
1928,45626,7.43
1929,45730,7.18
1930,45891,11.10
1931,46074,14.88
1932,46335,15.39
1933,46520,13.93
1934,46666,11.73
1935,46869,10.87
1936,47081,9.25
1937,47289,7.70
1938,47494,9.20
1939,47762,5.68
1940,48226,2.99
1941,48216,1.03
1942,48400,0.44
1943,48789,0.32
1944,49016,0.28
1945,49182,0.41
1946,49217,2.04
1947,49539,1.62
1948,50033,1.64
1949,50331,1.53
1950,50572,1.82
1951,50302,1.57
1952,50444,2.36
1953,50593,2.03
1954,50765,1.77
1955,50946,1.55
1956,51184,1.64
1957,51431,1.89
1958,51653,2.53
1959,51956,2.64
1960,52373,2.14
1961,52807,2.07
1962,53290,2.60
1963,53624,3.10
1964,53991,2.40
1965,54350,2.26
1966,54645,2.47
1967,54961,3.37
1968,55213,3.49
1969,55459,3.50
1970,55629,3.75
1971,55928,4.14
1972,56097,4.34
1973,56223,3.65
1974,56236,3.65
1975,56226,4.50
1976,56216,5.40
1977,56190,5.59
1978,56178,5.51
1979,56240,5.38
1980,56330,6.81
1981,56358,9.65
1982,56291,10.72
1983,56316,11.47
1984,56409,11.77
1985,56554,11.36
1986,56684,11.32
1987,56804,10.43
1988,56916,8.57
1989,57076,7.22
1990,57237,7.10
1991,57439,8.82
1992,57585,9.95
1993,57714,10.37
1994,57862,9.50
1995,58025,8.62
1996,58164,8.10
1997,58314,6.97
1998,58475,6.26
1999,58684,5.98
2000,58886,5.46
2001,59113,5.10
2002,59366,5.19
2003,59637,5.01
2004,59950,4.75
2005,60413,4.83
2006,60827,5.42
2007,61319,5.33
2008,61824,5.69
2009,62260,7.61
2010,62759,7.87
2011,63285,8.11
2012,63705,7.97
2013,64106,7.61
2014,64597,6.18
2015,65110,5.38
2016,65573,4.90
